127.0.0.1 - - [11/Dec/2014:20:23:27 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:05:44 +0800] "GET /Redplus HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:05:44 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:02 +0800] "GET /RedPlus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:03 +0800] "GET /RedPlus/ HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/admin HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/css/bui-min.css HTTP/1.1" 200 53272
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/css/dpl-min.css HTTP/1.1" 200 73917
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/ux/crudgrid.js HTTP/1.1" 200 17440
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/js/jquery-1.8.1.min.js HTTP/1.1" 200 92793
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/js/hightChats/highcharts.js HTTP/1.1" 200 153297
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/ux/savedialog.js HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/css/page.css HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/js/hightChats/module/exporting.js HTTP/1.1" 200 7449
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/js/gzjp.js HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:10 +0800] "GET /RedPlus/static/bui/bui.js HTTP/1.1" 200 1185998
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:23 +0800] "GET /RedPlus/static/bui/img/load-16-16.gif HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:24 +0800] "POST /RedPlus/admin/loginForm HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/admin/home HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/css/main.css HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/common/main-min.js HTTP/1.1" 200 8483
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/img/main-nav-bg.png HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/admin/home/loadMenu?_=1418303185245 HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/img/icon-806-614.png HTTP/1.1" 200 8138
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/img/tab-140-120.gif HTTP/1.1" 200 5847
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/img/left-slib.gif HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:06:25 +0800] "GET /RedPlus/static/bui/img/menu-500-188.png HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:45 +0800] "GET /RedPlus/back/userInfo HTTP/1.1" 200 12215
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:45 +0800] "GET /RedPlus/static/bui/common/page-min.js HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:45 +0800] "GET /RedPlus/static/bui/img/check_icon-100-100.gif HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:45 +0800] "GET /RedPlus/static/bui/img/table-191-450.gif HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:46 +0800] "GET /RedPlus/static/bui/img/sprite-469-300.png HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:07:46 +0800] "POST /RedPlus/back/userInfo/list HTTP/1.1" 200 4675
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:33:51 +0800] "POST /RedPlus/back/userInfo/add HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [11/Dec/2014:21:33:51 +0800] "POST /RedPlus/back/userInfo/list HTTP/1.1" 200 4675
