127.0.0.1 - - [24/Jan/2015:21:52:43 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/static/img/login/submit.gif HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/static/img/login/login_bg.jpg HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/static/img/login/reset.gif HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/static/img/login/logo.gif HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:11 +0800] "GET /WeiShop/static/img/login/bg.jpg HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/css/ext-icon.css HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/adapter/ext/ext-base.js HTTP/1.1" 200 27115
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/resources/css/ext-all.css HTTP/1.1" 200 138471
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/ux/ueditor.js HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/ext-lang-zh_CN.js HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/ux/SearchField.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/css/index.css HTTP/1.1" 200 11844
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/weshop/imagePanel.js HTTP/1.1" 200 4599
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/ext-all.js HTTP/1.1" 200 714418
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ueditor/ueditor.config.js HTTP/1.1" 200 20203
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/weshop/ImageHtmlEditor.js HTTP/1.1" 200 4508
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ueditor/lang/zh-cn/zh-cn.js HTTP/1.1" 200 30020
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/weshop/main/index.js HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/weshop/main/App.js HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/js/Clock.js HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ueditor/ueditor.all.min.js HTTP/1.1" 200 367806
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/resources/images/default/qtip/tip-sprite.gif HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/ext/resources/images/default/qtip/tip-anchor-sprite.gif HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/img/top_center.jpg HTTP/1.1" 200 11622
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:14 +0800] "GET /WeiShop/static/img/top_right.jpg HTTP/1.1" 200 17839
